Deputado,Partido,Estado
Senador Eduardo Girão,NOVO,CE
Senador Eduardo Gomes,PL,TO
Eduardo Velloso,UNIÃO,AC
Senador Efraim Filho,UNIÃO,PB
Elcione Barbalho,MDB,PA
Eli Borges,PL,TO
Senadora Eliziane Gama,PSD,MA
Elmar Nascimento,UNIÃO,BA
Ely Santos,REPUBLICANOS,SP
Emanuel Pinheiro Neto,MDB,MT
Emidinho Madeira,PL,MG
Enfermeira Ana Paula,PODE,CE
Enfermeira Rejane,PCdoB,RJ
Eriberto Medeiros,PSB,PE
Erika Hilton,PSOL,SP
Erika Kokay,PT,DF
Eros Biondini,PL,MG
Senador Esperidião Amin,PP,SC
Euclydes Pettersen,REPUBLICANOS,MG
Evair Vieira De Melo,PP,ES
Senador Fabiano Contarato,PT,ES
Fábio Macedo,PODE,MA
Fabio Reis,PSD,SE
Fabio Schiochet,UNIÃO,SC
Fábio Teruel,MDB,SP
Fausto Pinato,PP,SP
Fausto Santos Jr.,UNIÃO,AM
Felipe Becari,UNIÃO,SP
Felipe Carreras,PSB,PE
Felipe Francischini,UNIÃO,PR
Félix Mendonça Júnior,PDT,BA
Fernanda Melchionna,PSOL,RS
Fernanda Pessoa,UNIÃO,CE
Fernando Coelho Filho,UNIÃO,PE
Senador Fernando Dueire,MDB,PE
Senador Fernando Farias,MDB,AL
Fernando Mineiro,PT,RN
Fernando Monteiro,REPUBLICANOS,PE
Fernando Rodolfo,PL,PE
Filipe Barros,PL,PR
Filipe Martins,PL,TO
Flávia Morais,PDT,GO
Senador Flávio Arns,PSB,PR
Senador Flávio Bolsonaro,PL,RJ
Flávio Nogueira,PT,PI
Florentino Neto,PT,PI
Franciane Bayer,REPUBLICANOS,RS
Fred Costa,PRD,MG
Fred Linhares,REPUBLICANOS,DF
Gabriel Mota,REPUBLICANOS,RR
Gabriel Nunes,PSD,BA
General Girão,PL,RN
General Pazuello,PL,RJ
Geovania De Sá,PSDB,SC
Geraldo Mendes,UNIÃO,PR
Geraldo Resende,PSDB,MS
Gervásio Maia,PSB,PB
Giacobo,PL,PR
Gilberto Abramo,REPUBLICANOS,MG
Gilberto Nascimento,PSD,SP
Gilson Daniel,PODE,ES
Gilson Marques,NOVO,SC
Gilvan Da Federal,PL,ES
Senador Giordano,MDB,SP
Giovani Cherini,PL,RS
Gisela Simona,UNIÃO,MT
Glauber Braga,PSOL,RJ
Greyce Elias,AVANTE,MG
Guilherme Boulos,PSOL,SP
Guilherme Uchoa,PSB,PE
Gustavo Gayer,PL,GO
Gustinho Ribeiro,REPUBLICANOS,SE
Gutemberg Reis,MDB,RJ
Senador Hamilton Mourão,REPUBLICANOS,RS
Heitor Schuch,PSB,RS
Helder Salomão,PT,ES
Helena Lima,MDB,RR
Helio Lopes,PL,RJ
Henderson Pinto,MDB,PA
Hercílio Coelho Diniz,MDB,MG
Hildo Rocha,MDB,MA
Hugo Leal,PSD,RJ
Hugo Motta,REPUBLICANOS,PB
Senador Humberto Costa,PT,PE
Icaro De Valmir,PL,SE
Igor Timo,PSD,MG
Senador Irajá,PSD,TO
Ismael,PSD,SC
Isnaldo Bulhões Jr.,MDB,AL
Ivan Valente,PSOL,SP
Senadora Ivete da Silveira,MDB,SC
Ivoneide Caetano,PT,BA
Iza Arruda,MDB,PE
Senador Izalci Lucas,PL,DF
Jack Rocha,PT,ES
Senador Jader Barbalho,MDB,PA
Jadyel Alencar,REPUBLICANOS,PI
Senador Jaime Bagattoli,PL,RO
Jandira Feghali,PCdoB,RJ
Senador Jaques Wagner,PT,BA
Senador Jayme Campos,UNIÃO,MT
Jeferson Rodrigues,REPUBLICANOS,GO
Jefferson Campos,PL,SP
Jilmar Tatto,PT,SP
João Carlos Bacelar,PL,BA
João Cury,MDB,SP
João Daniel,PT,SE
João Leão,PP,BA
João Maia,PP,RN
Joaquim Passarinho,PL,PA
Jonas Donizette,PSB,SP
Jorge Braz,REPUBLICANOS,RJ
Jorge Goetten,REPUBLICANOS,SC
Senador Jorge Kajuru,PSB,GO
Senador Jorge Seif,PL,SC
Jorge Solla,PT,BA
José Airton Félix Cirilo,PT,CE
José Guimarães,PT,CE
Joseildo Ramos,PT,BA
José Medeiros,PL,MT
José Nelto,UNIÃO,GO
Josenildo,PDT,AP
José Priante,MDB,PA
José Rocha,UNIÃO,BA
Josias Gomes,PT,BA
Josimar Maranhãozinho,PL,MA
Josivaldo Jp,PSD,MA
Juarez Costa,MDB,MT
Juliana Cardoso,PT,SP
Julia Zanatta,PL,SC
Julio Arcoverde,PP,PI
Júlio Cesar,PSD,PI
Julio Cesar Ribeiro,REPUBLICANOS,DF
Julio Lopes,PP,RJ
Juninho Do Pneu,UNIÃO,RJ
Junio Amaral,PL,MG
Júnior Ferrari,PSD,PA
Junior Lourenço,PL,MA
Júnior Mano,PSB,CE
Juscelino Filho,UNIÃO,MA
Senadora Jussara Lima,PSD,PI
Keniston Braga,MDB,PA
Kiko Celeguim,PT,SP
Kim Kataguiri,UNIÃO,SP
Senador Laércio Oliveira,PP,SE
Lafayette De Andrada,REPUBLICANOS,MG
Laura Carneiro,PSD,RJ
Lêda Borges,PSDB,GO
Senadora Leila Barros,PDT,DF
Lenir De Assis,PT,PR
Leonardo Monteiro,PT,MG
Leônidas Cristino,PDT,CE
Leo Prates,PDT,BA
Leur Lomanto Júnior,UNIÃO,BA
Lídice Da Mata,PSB,BA
Lincoln Portela,PL,MG
Lindbergh Farias,PT,RJ
Senador Lucas Barreto,PSD,AP
Lucas Ramos,PSB,PE
Lucas Redecker,PSDB,RS
Luciano Alves,PSD,PR
Luciano Amaral,PSD,AL
Luciano Bivar,UNIÃO,PE
Luciano Ducci,PSB,PR
Luciano Vieira,REPUBLICANOS,RJ
Lucio Mosquini,MDB,RO
Luisa Canziani,PSD,PR
Luis Carlos Gomes,REPUBLICANOS,RJ
Senador Luis Carlos Heinze,PP,RS
Luis Tibé,AVANTE,MG
Luiza Erundina,PSOL,SP
Luiz Antonio Corrêa,PP,RJ
Luiz Carlos Busato,UNIÃO,RS
Luiz Carlos Hauly,PODE,PR
Luiz Carlos Motta,PL,SP
Luiz Couto,PT,PB
Luiz Fernando Faria,PSD,MG
Luiz Fernando Vampiro,MDB,SC
Luiz Gastão,PSD,CE
Luizianne Lins,PT,CE
Luiz Lima,NOVO,RJ
Luiz Nishimori,PSD,PR
Luiz Philippe De Orleans E Bragança,PL,SP
Lula Da Fonte,PP,PE
Magda Mofatto,PRD,GO
Senador Magno Malta,PL,ES
Senadora Mara Gabrilli,PSD,SP
Marangoni,UNIÃO,SP
Marcelo Álvaro Antônio,PL,MG
Senador Marcelo Castro,MDB,PI
Marcelo Crivella,REPUBLICANOS,RJ
Marcelo Moraes,PL,RS
Marcel Van Hattem,NOVO,RS
Marcio Alvino,PL,SP
Márcio Biolchi,MDB,RS
Senador Marcio Bittar,PL,AC
Márcio Honaiser,PDT,MA
Márcio Jerry,PCdoB,MA
Márcio Marinho,REPUBLICANOS,BA
Marcon,PT,RS
Marcos Aurélio Sampaio,PSD,PI
Senador Marcos do Val,PODEMOS,ES
Marcos Pereira,REPUBLICANOS,SP
Marcos Pollon,PL,MS
Senador Marcos Rogério,PL,RO
Marcos Soares,UNIÃO,RJ
Marcos Tavares,PDT,RJ
Senadora Margareth Buzetti,PP,MT
Maria Arraes,SOLIDARIEDADE,PE
Maria Do Rosário,PT,RS
Maria Rosas,REPUBLICANOS,SP
Mario Frias,PL,SP
Mário Heringer,PDT,MG
Mário Negromonte Jr.,PP,BA
Marreca Filho,PRD,MA
Marussa Boldrin,MDB,GO
Marx Beltrão,PP,AL
Matheus Noronha,PL,CE
Maurício Carvalho,UNIÃO,RO
Mauricio Do Vôlei,PL,MG
Mauricio Marcon,PODE,RS
Mauricio Neves,PP,SP
Mauro Benevides Filho,PDT,CE
Max Lemos,PDT,RJ
Senador Mecias de Jesus,REPUBLICANOS,RR
Meire Serafim,UNIÃO,AC
Mendonça Filho,UNIÃO,PE
Merlong Solano,PT,PI
Mersinho Lucena,PP,PB
Messias Donato,REPUBLICANOS,ES
Miguel Ângelo,PT,MG
Miguel Lombardi,PL,SP
Misael Varella,PSD,MG
Missionário José Olimpio,PL,SP
Moses Rodrigues,UNIÃO,CE
Murillo Gouvea,UNIÃO,RJ
Murilo Galdino,REPUBLICANOS,PB
Natália Bonavides,PT,RN
Nelinho Freitas,MDB,CE
Senador Nelsinho Trad,PSD,MS
Nelson Barbudo,PL,MT
Nely Aquino,PODE,MG
Neto Carletto,AVANTE,BA
Newton Cardoso Jr,MDB,MG
Nicoletti,UNIÃO,RR
Nikolas Ferreira,PL,MG
Nilto Tatto,PT,SP
Odair Cunha,PT,MG
Olival Marques,MDB,PA
Senador Omar Aziz,PSD,AM
Senador Oriovisto Guimarães,PSDB,PR
Orlando Silva,PCdoB,SP
Osmar Terra,PL,RS
Ossesio Silva,REPUBLICANOS,PE
Otoni De Paula,MDB,RJ
Senador Otto Alencar,PSD,BA
Otto Alencar Filho,PSD,BA
Padovani,UNIÃO,PR
Padre João,PT,MG
Pastor Claudio Mariano,UNIÃO,PA
Pastor Diniz,UNIÃO,RR
Pastor Eurico,PL,PE
Pastor Gil,PL,MA
Pastor Henrique Vieira,PSOL,RJ
